"file","status","reason","evidence"
"frontend/src/components/workspace/reasoning-effort-picker.tsx","源码存在，未挂载","独立推理强度组件没有运行时调用；Coder设置有自己的配置控件。","38"
"frontend/src/components/workspace/scope-settings.tsx","源码存在，未挂载","ScopeSettingsButton 没有运行时调用者。",""
"frontend/src/components/workspace/share-menu.tsx","部分已查","公开只读范围及HTML导出入口；未生成公开链接、二维码或下载文件。","259"
"frontend/src/components/workspace/sidebar-footer.tsx","已查当前窗口","个人角色/积分/设置入口。","242,252"
"frontend/src/components/workspace/settings/subscription-settings-page.tsx","受阻","计费未连接，重试后仍失败。","16,292"
"frontend/src/components/workspace/settings/settings-dialog.tsx","部分已查","所有当前分类与桌面/窄窗/手机主题代表；数据后续表单分列。","14–48,289–294,306,307,320"
"frontend/src/components/workspace/settings/memory-settings-page.tsx","部分已查","记忆页和创建空表单；未新增记忆。","20,21"
"frontend/src/components/workspace/settings/privacy-settings-page.tsx","部分已查","高级配置、阻止路径、出厂重置确认均取消。","28–31"
"frontend/src/components/workspace/settings/mcp-settings-page.tsx","部分已查","MCP集成及空添加表单；未连服务。","24"
"frontend/src/components/workspace/settings/model-settings-page.tsx","部分已查","来源、接入表单、请求头、本地服务、网关、高级协同和矩阵；未测试或保存新模型。","18,19,35–43,294"
"frontend/src/components/workspace/settings/cron-settings-page.tsx","复用/条件未验证","设置自动化入口与订阅共用能力；成功执行、计划详情依赖数据。","102–107,285–288"
"frontend/src/components/workspace/settings/automation-settings-page.tsx","部分已查","浏览器/桌面自动化设置，网页环境原生动作受限。","25,26,289"
"frontend/src/components/workspace/team-mode-picker.tsx","已查当前窗口","按需回复/分工协作/并行共创说明，未修改。","325"
"frontend/src/components/workspace/user-menu.tsx","已查当前窗口","角色与账号菜单、积分入口。","242,252"
"frontend/src/components/workspace/settings/account-settings-page.tsx","部分已查","当前local认证账户说明；云端资料/验证窗口不可达。","15"
"frontend/src/components/workspace/workspace-members-panel.tsx","源码存在，未挂载","独立工作区成员面板未找到运行时调用；AI会话成员另有入口。","257"
"frontend/src/components/workspace/workspace-nav-chat-list.tsx","部分已查","导航列表与更多菜单；新增会话同步受共享后端变化影响。","280–282,309,312"
"frontend/src/components/workspace/workspace-sidebar.tsx","部分已查","编辑/折叠/移动菜单；原生项目选择未验证。","241,253,312,313"
